x,y,z
-120.405177173,61.4739743503,835.888338451
-120.448371211,61.5299711238,835.904756539
-120.491705795,61.5859561902,835.921149815
-120.535181733,61.6419294842,835.937518206
-120.57879984,61.6978909396,835.953861639
-120.622560934,61.7538404899,835.970180042
-120.666465842,61.8097780682,835.98647334
-120.710515396,61.8657036068,836.002741462
-120.754710432,61.9216170377,836.018984334
-120.799051797,61.9775182922,836.035201883
-120.843540339,62.0334073012,836.051394038
-120.888176916,62.0892839949,836.067560726
-120.932962391,62.1451483031,836.083701874
-120.977897633,62.2010001551,836.09981741
-121.022983518,62.2568394794,836.115907263
-121.068220928,62.3126662041,836.13197136
-121.113610752,62.3684802568,836.14800963
-121.159153887,62.4242815644,836.164022
-121.204851233,62.4800700532,836.180008399
-121.250703701,62.535845649,836.195968756
-121.296712206,62.591608277,836.211902999
-121.342877671,62.6473578617,836.227811057
-121.389201026,62.7030943273,836.243692859
-121.435683206,62.758817597,836.259548334
-121.482325157,62.8145275936,836.27537741
-121.529127828,62.8702242392,836.291180018
-121.576092179,62.9259074554,836.306956085
-121.623219173,62.9815771631,836.322705543
-121.670509784,63.0372332824,836.33842832
-121.717964991,63.0928757331,836.354124346
-121.765585783,63.148504434,836.36979355
-121.813373154,63.2041193035,836.385435863
-121.861328106,63.2597202592,836.401051215
-121.90945165,63.3153072181,836.416639536
-121.957744804,63.3708800964,836.432200756
-122.006208593,63.4264388098,836.447734805
-122.05484405,63.4819832732,836.463241614
-122.103652219,63.5375134008,836.478721114
-122.152634147,63.5930291061,836.494173234
-122.201790893,63.6485303019,836.509597908
-122.251123521,63.7040169004,836.524995064
-122.300633108,63.7594888128,836.540364634
-122.350320733,63.8149459499,836.55570655
-122.400187489,63.8703882215,836.571020743
-122.450234474,63.9258155368,836.586307143
-122.500462796,63.9812278041,836.601565684
-122.550873571,64.0366249311,836.616796296
-122.601467924,64.0920068247,836.631998912
-122.652246989,64.1473733909,836.647173463
-122.703211908,64.2027245351,836.662319881
-122.754363834,64.2580601618,836.677438099
-122.805703925,64.3133801747,836.692528049
-122.857233353,64.3686844767,836.707589663
-122.908953295,64.4239729698,836.722622874
-122.960864941,64.4792455554,836.737627615
-123.012969487,64.5345021338,836.752603819
-123.06526814,64.5897426048,836.767551417
-123.117762117,64.6449668669,836.782470345
-123.170452643,64.7001748181,836.797360534
-123.223340955,64.7553663553,836.812221918
-123.276428298,64.8105413748,836.827054431
-123.329715928,64.8656997718,836.841858005
-123.383205109,64.9208414406,836.856632576
-123.436897118,64.9759662747,836.871378076
-123.490793239,65.0310741666,836.88609444
-123.54489477,65.0861650079,836.900781602
-123.599203015,65.1412386893,836.915439495
-123.653719293,65.1962951006,836.930068055
-123.708444929,65.2513341306,836.944667216
-123.763381263,65.306355667,836.959236912
-123.818529642,65.3613595967,836.973777078
-123.873891427,65.4163458057,836.988287649
-123.929467988,65.4713141788,837.00276856
-123.985260706,65.5262645998,837.017219746
-124.041270975,65.5811969517,837.031641143
-124.097500197,65.6361111163,837.046032685
-124.15394979,65.6910069744,837.060394309
-124.210621179,65.7458844058,837.07472595
-124.267515802,65.8007432892,837.089027543
-124.324635111,65.8555835022,837.103299025
-124.381980567,65.9104049215,837.117540332
-124.439553644,65.9652074224,837.1317514
-124.497355828,66.0199908795,837.145932165
-124.555388617,66.0747551659,837.160082563
-124.613653522,66.1295001538,837.174202532
-124.672152064,66.1842257142,837.188292007
-124.730885781,66.238931717,837.202350927
